id,RegisteredName,Registered Email,RegisteredMobile,State,City,Status,registrationfee,RegisteredCampus,School,College,Country,Gender,AssignToCounsellor,AdmissionCategory,IntermediateMarks,Department
241028,Isha Verma,ishaverma@example.com,9611509224,Uttar Pradesh,Ghaziabad,Declined,Paid,PKD campus,Royal Public School,Gokul college,India,Female,Praveen,EAPCET,91.5,CSE
241029,Vishal Patel,vishalpatel@example.com,9557160002,Gujarat,Vadodara,Pending,Paid,Bhuvaneshwar campus,Rainbow Public School,Sri devi college,India,Male,Kishore,Management Quota,76.3,CSE
241030,Neha Verma,nehaverma@example.com,9968508793,Uttar Pradesh,Ghaziabad,Pending,not paid,PKD campus,Sunshine Public School,Sri Sai college,India,Female,Sreekar,EAPCET,79.5,MECH
241031,Suresh Kumar,sureshkumar@example.com,9901026454,Tamil Nadu,Coimbatore,Accepted,Paid,Bhuvaneshwar campus,Vani Public School,College,India,Male,Kishore,EAPCET,68.2,CSE
241032,Meera Devi,meeradevi@example.com,9158451974,Bihar,Patna,Declined,not paid,Vizianagaram campus,Gyan Bharati School,Vignan college,India,Female,Praveen,Management Quota,73.8,CSE
241033,Rohan Patel,rohanpatel@example.com,9546282782,Gujarat,Vadodara,Pending,Paid,PKD campus,Little Flower School,Narayana college,India,Male,Sreekar,Management Quota,82.1,ECE
241034,Kavita Sharma,kavitasharma@example.com,9923577763,Maharashtra,Nagpur,Accepted,not paid,Vizianagaram campus,St. Mary's School,sri chaitanya college,India,Female,Kishore,EAPCET,91.4,ECE
241035,Varun Gupta,varungupta@example.com,9137342884,Uttar Pradesh,Agra,Declined,Paid,Bhuvaneshwar campus,Blue Bells School, Surya college,India,Male,Praveen,Management Quota,76.5,CSE
241036,Swati Singh,swatisingh@example.com,9307737207,Bihar,Gaya,Accepted,Paid,Vizianagaram campus,City Public School,st.Anna's college,India,Female,Sreekar,Management Quota,84.7,CSE
241037,Amarjeet Kaur,amarjeetkaur@example.com,9735474488,Punjab,Ludhiana,Pending,not paid,PKD campus,St. Xavier's School,kendriaya college,India,Female,Kishore,EAPCET,77.9,ECE
241038,Mohan Das,mohandas@example.com,9133281158,Kerala,Kochi,Pending,not paid,Bhuvaneshwar campus,Sacred Heart School,govt. jr college,India,Male,Praveen,Management Quota,88.3,ECE
241039,Preeti Gupta,preetigupta@example.com,9223039875,Uttar Pradesh,Varanasi,Declined,Paid,Vizianagaram campus,Saraswati Vidya Mandir,Model college,India,Female,Kishore,EAPCET,72.6,ECE
241040,Ajay Kumar,ajaykumar@example.com,9100875106,Karnataka,Mysore,Accepted,Paid,PKD campus,Green Valley School,Gokul college,India,Male,Sreekar,Management Quota,79.3,ECE
241041,Nidhi Verma,nidhiverma@example.com,9798563418,Delhi,Faridabad,Pending,Paid,Vizianagaram campus,Modern Public School,bharathi college,India,Female,Kishore,Management Quota,85.2,ECE
241042,Vivek Singh,viveksingh@example.com,9405034411,Bihar,Bhagalpur,Accepted,not paid,Bhuvaneshwar campus,Vivekananda School,Sri devi coolege,India,Male,Praveen,EAPCET,74.8,CSE
241043,Simran Kaur,simrankaur@example.com,9158025331,Punjab,Amritsar,Declined,not paid,Vizianagaram campus,Sacred Heart Convent,AVK juniour college,India,Female,Sreekar,Management Quota,80.5,ECE
241044,Rahul Mehta,rahulmehta@example.com,9177085485,Haryana,Gurgaon,Pending,Paid,PKD campus,DAV Public School,Vasavi college,India,Male,Kishore,Management Quota,93.1,MECH
241045,Priyanka Das,priyankadas@example.com,9711126745,West Bengal,Howrah,Accepted,Paid,Bhuvaneshwar campus,St. Joseph's School,pragathi college,India,Female,Praveen,EAPCET,68.9,CSE
241046,Sushant Patel,sushantpatel@example.com,9930926504,Gujarat,Rajkot,Declined,Paid,Vizianagaram campus,St. Xavier's School,Adithya college,India,Male,Sreekar,Management Quota,86.4,MECH
241047,Deepak Sharma,deepaksharma@example.com,9229676507,Rajasthan,Jodhpur,Pending,not paid,PKD campus,Rajput Public School,Narayana college,India,Male,Kishore,EAPCET,82.7,ECE
241048,Neha Gupta,nehagupta@example.com,9499636602,Madhya Pradesh,Bhopal,Declined,Paid,Bhuvaneshwar campus,Oxford Public School,Vignan college,India,Female,Praveen,Management Quota,76.2,ECE
241049,Arjun Singh,arjunsingh@example.com,9380176530,Karnataka,Hubli,Accepted,Paid,Vizianagaram campus,St. John's School,sri chaitanya college,India,Male,Sreekar,EAPCET,89.4,CSE
241050,Kritika Verma,kritikaverma@example.com,9446072331,Uttar Pradesh,Meerut,Pending,Paid,PKD campus,Bright Future School,Narayana college,India,Female,Kishore,Management Quota,83.8,CSE
241051,Akash Patel,akashpatel@example.com,9730489481,Gujarat,Gandhinagar,Accepted,not paid,Bhuvaneshwar campus,Swaminarayan School,kendriaya college,India,Male,Praveen,Management Quota,78.5,ECE
241052,Ritu Sharma,ritusharma@example.com,9464559461,Maharashtra,Thane,Declined,not paid,Vizianagaram campus,Sunrise Public School,Model college,India,Female,Kishore,Management Quota,81.6,CSE
241053,Vikram Singh,vikramsingh@example.com,9151043646,Haryana,Karnal,Pending,not paid,PKD campus,Shri Ram School,MR college,India,Male,Sreekar,EAPCET,75.9,MECH
241054,Jyoti Gupta,jyotigupta@example.com,9677507577,Punjab,Patiala,Accepted,Paid,Vizianagaram campus,DAV Public School,Mangala giri college,India,Female,Praveen,EAPCET,88.2,ECE
241055,Rohit Verma,rohitverma@example.com,9432522824,Rajasthan,Ajmer,Pending,Paid,Bhuvaneshwar campus,Tagore Public School,Narayana college,India,Male,Kishore,Management Quota,79.3,MECH
241056,Poonam Singh,poonamsingh@example.com,9434881066,Uttar Pradesh,Ghaziabad,Declined,Paid,Vizianagaram campus,St. Teresa's School,AVK juniour college,India,Female,Sreekar,Management Quota,86.7,CSE
241057,Harish Patel,harishpatel@example.com,9666754245,Gujarat,Bhavnagar,Accepted,not paid,PKD campus,Navyug Public School,Adithya college,India,Male,Praveen,EAPCET,74.1,CSE
241058,Aarti Sharma,aartisharma@example.com,9675817439,Maharashtra,Nashik,Pending,Paid,Bhuvaneshwar campus,Millennium School,Vasavi college,India,Female,Kishore,Management Quota,90.5,MECH
241059,Ajay Kumar,ajaykumar@example.com,9151061672,Bihar,Darbhanga,Declined,not paid,Vizianagaram campus,Holy Cross School,siva sakthi coolege,India,Male,Sreekar,Management Quota,77.4,MECH
241060,Sonali Gupta,sonaligupta@example.com,9611404507,Uttar Pradesh,Agra,Accepted,Paid,PKD campus,City Montessori School,andalamma college,India,Female,Praveen,EAPCET,85.3,MECH
241061,Deepak Verma,deepakverma@example.com,9228685669,Madhya Pradesh,Jabalpur,Pending,not paid,Vizianagaram campus,Birla Public School,Adithya college,India,Male,Kishore,Management Quota,78.9,ECE
241062,Renuka Singh,renukasingh@example.com,9910748100,Bihar,Muzaffarpur,Declined,Paid,Bhuvaneshwar campus,St. Francis School,Narayana college,India,Female,Sreekar,Management Quota,82.4,MECH
241063,Rohan Kumar,rohankumar@example.com,9413858130,Jharkhand,Ranchi,Accepted,Paid,PKD campus,DAV Public School,Vignan college,India,Male,Praveen,EAPCET,79.6,CSE
241064,Anushka Patel,anushkapatel@example.com,9361683351,Gujarat,Jamnagar,Pending,Paid,Vizianagaram campus,Gurukul School,kendriaya college,India,Female,Kishore,Management Quota,87.8,CSE
241065,Prakash Singh,prakashsingh@example.com,9697729778,Uttar Pradesh,Kanpur,Declined,not paid,Bhuvaneshwar campus,St. Mary's Convent,bharathi college,India,Male,Sreekar,EAPCET,84.2,ECE
